title,artist,album,release_date,genre,rank,chartyear

내일또 만납시다,금호동,여인을 못잊어/그정 못잊어,1964,성인가요/트로트,1,1964

눈물의 연평도,최숙자,최숙자 힛트전집,1964,성인가요/트로트,2,1964

님이라 부르리까,이미자,그 시절 그 노래 Vol.5,1964,성인가요/트로트,3,1964

동백아가씨,이미자,이미자 전집,1964,성인가요/트로트,4,1964

떠날때는 말없이,현미,현미 대표곡 모음,1964,성인가요/트로트,5,1964

마도로스 부기,백야성,가요 반세기 진품명품(眞品名品) 제(第)1집(集)(오리지날 편집),1964,성인가요/트로트,6,1964

맨발의 청춘,최희준,최희준 스타앨범 힛트 21,1964,성인가요/트로트,7,1964

물새우는 해변,권혜경,박춘석 작곡집,1964,성인가요/트로트,8,1964

밀짚모자 목장아가씨,박재란,오리지날 힛송 총결산집,1964,성인가요/트로트,9,1964

보고싶은 얼굴,현미,현미 대표곡 모음,1964,성인가요/트로트,10,1964

빗속의 여인 (1964년작),Add 4,Anthology Part I&II (Normal Edition),1964,록/메탈,11,1964

빨간구두 아가씨,남일해,가요 반세기 진품명품(眞品名品) 제(第)3집(集)(오리지날 편집),1964,성인가요/트로트,12,1964

소쩍새 우는 마을,박재란,김인배 작곡 2,1964,성인가요/트로트,13,1964

아메리칸 마도로스,고봉산,가요 박물관,1964,성인가요/트로트,14,1964

아빠 안녕,현미,오리지날 힛송 총결산집,1964,성인가요/트로트,15,1964

영등포의 밤,오기택,"20골드 (영등포의 밤,바닷가에서)",1964,성인가요/트로트,16,1964

워싱턴광장,정 시스터즈,노란샤쓰의 사나이 오리지날,1964,성인가요/트로트,17,1964

이국땅,남일해,그 시절 그 노래,1964,성인가요/트로트,18,1964

저녁 한때 목장풍경,위키리,"2006 김기웅 작품집(창작성가,추억의 가요걸작선)",1964,성인가요/트로트,19,1964

진고개 신사,최희준,최희준 스타앨범 힛트 21,1964,성인가요/트로트,20,1964

첫사랑 마도로스,남일해,그 시절 그 노래,1964,성인가요/트로트,21,1964

황혼의 에레지,최양숙,사랑해 봤으면 / 황혼의 에레지,1964,성인가요/트로트,22,1964

내 이름은 소녀,조애희,김인배 작곡 2,1965,성인가요/트로트,1,1965

누가 이사람을 모르시나요 (남과북 주제가),곽순옥,오리지날 힛송 총결산집,1965,성인가요/트로트,2,1965

마포사는 황부자,쟈니 브라더스,쟈니 브라더스 걸작선 (방앗간집 둘째딸 / 목마른 나무들) 박춘석 작곡,1965,성인가요/트로트,3,1965

맨발로 뛰어라,남일해,추억속의 영자씨,1965,성인가요/트로트,4,1965

맹호들은 간다,쟈니부라더스,맹호들은 간다,1965,성인가요/트로트,5,1965

사랑의 송가,한명숙,그 시절 그 노래,1965,성인가요/트로트,6,1965

산넘어 남촌에는,박재란,힛트 앨범 (Recorded 1959-1965),1965,성인가요/트로트,7,1965

아나 농부야,박재란,박재란 가요씨리즈,1965,성인가요/트로트,8,1965

아빠의 청춘,박일남,박일남 · 오기택 경창,1965,성인가요/트로트,9,1965

울어라 열풍,이미자,이미자 골드 일대작 제1집,1965,성인가요/트로트,10,1965

월남의 달밤,윤일로,그리운 노래 가요 반세기 7집,1965,성인가요/트로트,11,1965

위를 보고 걷자,최희준,최희준 힛트선집,1965,성인가요/트로트,12,1965

인정사정 볼 것 없다,진송남,백영호 작곡집 (여자 하숙생),1965,성인가요/트로트,13,1965

정동대감,이미자,이미자 골든,1965,성인가요/트로트,14,1965

쥐구멍에도 볕들날 있다,김상국,여자가 더 좋아 / 쥐구멍에도 볕들날 있다,1965,성인가요/트로트,15,1965

진주조개잡이,박재란,추억의 팝송 하이라이트 제1집,1965,성인가요/트로트,16,1965

행복의 샘터,박재란,박재란 전집,1965,성인가요/트로트,17,1965

황포돛대,이미자,이미자 전집,1965,성인가요/트로트,18,1965

고향무정,오기택,그시절 그노래 2집,1966,성인가요/트로트,1,1966

길잃은 철새,최희준,최희준 힛트곡 전집,1966,성인가요/트로트,2,1966

날씬한 아가씨끼리,이금희,웃기지 말아요,1966,성인가요/트로트,3,1966

남성금지구역,이시스터즈,오아시스 패라다이스 제2집,1966,성인가요/트로트,4,1966

눈물을 감추고,위키리,가요 박물관,1966,성인가요/트로트,5,1966

덕수궁 돌담길,진송남,히트전집,1966,성인가요/트로트,6,1966

동백꽃 피는 고향,남상규,남상규 전집,1966,성인가요/트로트,7,1966

동숙의 노래,문주란,문주란 베스트 2,1966,발라드,8,1966

뜨거운 안녕,쟈니리,"20골드 (영등포의 밤,바닷가에서)",1966,성인가요/트로트,9,1966

말띠 신부,조애희,오아시스 패라다이스 제2집,1966,성인가요/트로트,10,1966

목석같은 사나이,이시스터즈,오아시스 패라다이스 제1집,1966,성인가요/트로트,11,1966

미워하지 않으리,정원,"갈테면 가라지, 인생은 본전",1966,성인가요/트로트,12,1966

불나비,김상국,한국가요사 9집,1966,성인가요/트로트,13,1966

사랑합시다,위키리,6월이 오면 / 나는 못살아,1966,성인가요/트로트,14,1966

살짜기 옵서에,패티김,패티김 골든베스트,1966,성인가요/트로트,15,1966

수덕사의 여승,송춘희,송춘희 / 박가연 - 페레이드 (수덕사의 여승 / 이제와서 사라구요),1966,성인가요/트로트,16,1966

아카시아의 마음,문주란,문주란 베스트 2,1966,발라드,17,1966

엄처시하,최희준,최희준 스타앨범 힛트 21,1966,성인가요/트로트,18,1966

울릉도 트위스트,이시스터즈,그 10년의 총결산,1966,성인가요/트로트,19,1966

종점,최희준,최희준 스타앨범 힛트 21,1966,성인가요/트로트,20,1966

지평선은 말이없다,이미자,이미자 골든,1966,성인가요/트로트,21,1966

초우,문주란,문주란 베스트 2,1966,발라드,22,1966

충청도 아줌마,박일남,박일남 · 오기택 경창,1966,성인가요/트로트,23,1966

키다리 미스터 김,이금희,웃기지 말아요,1966,성인가요/트로트,24,1966

평양기생,이미자,이미자 골든,1966,성인가요/트로트,25,1966

하숙생,최희준,최희준 스타앨범 힛트 21,1966,성인가요/트로트,26,1966

허무한 마음,정원,"갈테면 가라지, 인생은 본전",1966,성인가요/트로트,27,1966

화진포에서 맺은 사랑,이시스터즈,그시절 그노래 제 24집,1966,성인가요/트로트,28,1966

가슴아프게,남진,남진 베스트 2,1967,성인가요/트로트,1,1967

갈대의 순정,박일남,박일남 애창곡집,1967,성인가요/트로트,2,1967

갑돌이와 갑순이,김세레나,김세레나 노래선물,1967,"국악, 국악가요",3,1967

경상도 청년,김상희,"당신을 알고부터, 참사랑",1967,성인가요/트로트,4,1967

나는 곰이다,최희준,최희준 Asia's Hit Song Series,1967,성인가요/트로트,5,1967

대머리 총각,김상희,"당신을 알고부터, 참사랑",1967,성인가요/트로트,6,1967

돈이면 최고냐,남진,스테레오 독집,1967,성인가요/트로트,7,1967

돌아가는 삼각지,배호,배호의 마지막노래,1967,성인가요/트로트,8,1967

돌지않는 풍차,문주란,문주란 베스트 2,1967,발라드,9,1967

두메산골,신행일,돌아온 배호,1967,성인가요/트로트,10,1967

뜨거워서 싫어요,김상희,"당신을 알고부터, 참사랑",1967,성인가요/트로트,11,1967

마음이 고와야지,남진,남진 베스트 2,1967,성인가요/트로트,12,1967

마음이 변하기 전에,윤복희,윤복희 힛트 앨범,1967,성인가요/트로트,13,1967

먼데서 왔우다예,이상열,오리지날 힛송 총결산집,1967,성인가요/트로트,14,1967

못잊어서 또왔네,이상열,오리지날 힛송 총결산집,1967,성인가요/트로트,15,1967

몽땅 내사랑,현미,그리운 노래 가요 반세기 8집,1967,성인가요/트로트,16,1967

바보처럼 울었다,진송남,히트전집,1967,성인가요/트로트,17,1967

빛과 그림자,최희준,최희준 스타앨범 힛트 21,1967,성인가요/트로트,18,1967

사랑아 내 사랑아,태원,내사랑 어데로 / 안개속의 비밀,1967,성인가요/트로트,19,1967

사랑을 하면 예뻐져요,봉봉사중창단,노래백년 가요백년 6,1967,성인가요/트로트,20,1967

사랑의 종말,차중락,차중락 힛트 앨범,1967,성인가요/트로트,21,1967

사월이 가면,패티김,길옥윤 유작집,1967,성인가요/트로트,22,1967

